epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
115,10572.2,0.92577,0.52831,0.01338,0.92722,0.90401,0.95876,0.76481,0.79098,0.3811,0.01457,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,10669.8,0.92357,0.52755,0.01319,0.9257,0.90516,0.95887,0.76513,0.78993,0.38277,0.01456,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,10767.4,0.92212,0.52717,0.01323,0.93156,0.90171,0.95889,0.76469,0.7897,0.38193,0.01456,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,10864.5,0.91609,0.51439,0.01327,0.92826,0.90386,0.95901,0.76523,0.78897,0.38252,0.01454,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,10961.4,0.91224,0.51888,0.01308,0.93162,0.90186,0.959,0.76531,0.78835,0.38182,0.01453,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,11058.6,0.90828,0.51453,0.01305,0.92742,0.90358,0.95882,0.76498,0.78814,0.38163,0.01453,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,11155.2,0.9127,0.51569,0.01305,0.92991,0.90211,0.95888,0.76519,0.78825,0.3804,0.01453,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,11250.9,0.90397,0.49857,0.01289,0.92925,0.90191,0.95896,0.76517,0.78869,0.37933,0.01454,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,11347.7,0.90488,0.51222,0.01295,0.93075,0.90101,0.95899,0.76556,0.78817,0.3788,0.01453,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,11444.5,0.90317,0.5023,0.013,0.93125,0.90071,0.95894,0.7659,0.78799,0.37757,0.01453,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,11541.7,0.89497,0.51122,0.01273,0.93111,0.90015,0.95892,0.76573,0.78716,0.37855,0.01451,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,11638.4,0.88824,0.49522,0.0128,0.92873,0.90085,0.95892,0.76537,0.78701,0.37821,0.01452,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,11734.9,0.8923,0.50217,0.01268,0.92802,0.90314,0.95909,0.76565,0.78688,0.37653,0.01451,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,11831.8,0.88957,0.49762,0.01266,0.93095,0.90206,0.95909,0.76593,0.78643,0.37628,0.0145,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,11928.6,0.8978,0.50369,0.01278,0.92697,0.90468,0.95899,0.76634,0.78583,0.37766,0.01449,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,12028.6,0.88451,0.49921,0.01261,0.9259,0.9055,0.95912,0.76614,0.78536,0.37744,0.01448,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,12127.2,0.88352,0.49167,0.01248,0.92734,0.90459,0.95921,0.76654,0.78515,0.37663,0.01447,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,12225.6,0.88342,0.48639,0.01249,0.928,0.90458,0.9592,0.76664,0.78511,0.37553,0.01447,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,12324.3,0.88056,0.48446,0.0125,0.92875,0.903,0.95938,0.76681,0.78456,0.376,0.01446,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,12422.6,0.87134,0.48481,0.01241,0.92897,0.90243,0.95962,0.76706,0.78464,0.37518,0.01446,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,12519.8,0.87126,0.47859,0.01228,0.93141,0.90046,0.96002,0.76784,0.78451,0.3743,0.01446,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
